,Model,Price in INR,Ratings
0,"MOTOROLA g31 (Baby Blue, 64 GB)","11,499",4.2
1,"MOTOROLA g31 (Meteorite Grey, 64 GB)","11,499",4.2
2,"MOTOROLA g31 (Meteorite Grey, 128 GB)","13,499",4.2
3,"MOTOROLA g31 (Baby Blue, 128 GB)","13,499",4.2
4,"Moto E5 (Grey/Flash Gray, 16 GB)","12,000",4.3
5,"Moto X Play(With Turbo Charger) (White, 16 GB)","17,499",4.2
6,"Virat FANBOX Moto G Turbo Virat Kohli (Black, 16 GB)","8,293",4.1
7,"Moto X (White, 16 GB)","15,000",4.4
8,"Moto C (Starry Black, 16 GB)","4,399",3.9
9,"Moto E 4th Gen (Iron Gray, 16 GB)","8,499",4
10,"Moto G (Black, 16 GB)","9,999",4.4
11,"Moto Turbo (Black, 64 GB)","31,999",4.2
12,"Moto G5 (Lunar Grey, 16 GB)","6,999",4.2
13,"Moto G5 Plus (Fine Gold, 16 GB)","14,999",4.3
14,"Moto G4 Plus (White, 16 GB)","5,999",4
15,"Moto G4 (Black, 16 GB)","6,399",3.9
16,"Moto X (2nd Generation) (Black, 16 GB)","14,999",4.2
17,"Moto E5 (Fine Gold, 16 GB)","7,049",4.3
18,"Moto C (Pearl White, 16 GB)","5,999",3.9
19,"Moto C Plus (Starry Black, 16 GB)","6,999",4.2
20,"Moto C Plus (Pearl White, 16 GB)","6,599",4.2
21,"Moto X (2nd Generation) (Black Leather, 16 GB)","9,999",4.2
22,"Moto G (2nd Generation) (Black, 16 GB)","8,999",4.2
23,"Moto G (2nd Generation) (White, 16 GB)","8,999",4.2
