Site,Date,Model,User Rating,Price
Amazon,02-05-2022,"LG Ultragear 68.5 cm (27-inch) IPS FHD, Gaming Monitor - 27GL650F (Black) + LG Tone Free Wireless Earbuds and IPX4 Water Resistance (White, FN6)",4.5,Unavailable
Amazon,02-05-2022,"MSI Optix G273QF Esports Gaming IPS Monitor - 27 inch, 16:9 WQHD (2560x1440), Rapid IPS, 165Hz, 1ms GTG Response Time, G-SYNC Compatible, Less Blue Light, VESA Mounting, Display Port, HDMI, Black",4.5,"24,999.00"
Amazon,02-05-2022,"Samsung Odyssey 24 inches 60.4 cm 1920 x 1080 Pixels 144 Hz, 1ms, Bezel Less, Flat, Full HD, FreeSync Premium Gaming LED Monitor (LF24G35TFWWXXL, Black)",4.4,"16,399.00"
Amazon,02-05-2022,"Samsung Odyssey 27-inches - 68.4 cm 2560 x 1440 Pixels 1000R, 144 Hz, 1ms, FreeSync Premium, WQHD Curved Gaming QLED Monitor (LC27G55TQWWXXL, Black)",4.2,"23,249.00"
Amazon,02-05-2022,"BenQ GW2780 27-inch 1080p FHD Eye-Care, IPS Monitor, Ultra-Slim Bezel, 60 Hz, Brightness Intelligence, 2Wx2 Speakers, Tilt, HDMI, VGA, Display Port, Cable Management, Flicker-Free",4.4,"14,990.00"
Amazon,02-05-2022,Acer Nitro VG270 S 27 Inch Full HD (1920 x 1080) IPS Gaming Monitor I 0.5 MS Response Time I 165Hz Refresh Rate I HDR 10 I AMD Radeon Free Sync I (2 x HDMI 1 x DP Ports) I Stereo Speakers,4.5,Unavailable
Amazon,03-05-2022,"LG Ultragear 68.5 cm (27-inch) IPS FHD, Gaming Monitor - 27GL650F (Black) + LG Tone Free Wireless Earbuds and IPX4 Water Resistance (White, FN6)",4.5,Unavailable
Amazon,03-05-2022,"MSI Optix G273QF Esports Gaming IPS Monitor - 27 inch, 16:9 WQHD (2560x1440), Rapid IPS, 165Hz, 1ms GTG Response Time, G-SYNC Compatible, Less Blue Light, VESA Mounting, Display Port, HDMI, Black",4.5,"24,999.00"
Amazon,03-05-2022,"Samsung Odyssey 24 inches 60.4 cm 1920 x 1080 Pixels 144 Hz, 1ms, Bezel Less, Flat, Full HD, FreeSync Premium Gaming LED Monitor (LF24G35TFWWXXL, Black)",4.4,"16,399.00"
Amazon,03-05-2022,"Samsung Odyssey 27-inches - 68.4 cm 2560 x 1440 Pixels 1000R, 144 Hz, 1ms, FreeSync Premium, WQHD Curved Gaming QLED Monitor (LC27G55TQWWXXL, Black)",4.2,"23,249.00"
Amazon,03-05-2022,"BenQ GW2780 27-inch 1080p FHD Eye-Care, IPS Monitor, Ultra-Slim Bezel, 60 Hz, Brightness Intelligence, 2Wx2 Speakers, Tilt, HDMI, VGA, Display Port, Cable Management, Flicker-Free",4.4,"14,990.00"
Amazon,03-05-2022,Acer Nitro VG270 S 27 Inch Full HD (1920 x 1080) IPS Gaming Monitor I 0.5 MS Response Time I 165Hz Refresh Rate I HDR 10 I AMD Radeon Free Sync I (2 x HDMI 1 x DP Ports) I Stereo Speakers,4.5,Unavailable
